Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,Heer Express,Umesh Shukla,Divita Juneja,Ashutosh Rana,Sanjay Mishra,Tulip Entertainment,hindi
2025,Love in Vietnam,Rahat Shah Kazmi,Shantanu Maheshwari,Avneet Kaur,Khả Ngân,Zee Studios,hindi
2025,Ek Chatur Naar,Umesh Shukla,Divya Khosla Kumar,Neil Nitin Mukesh,,T-Series Films,hindi
2025,Jugnuma: The Fable,Raam Reddy,Manoj Bajpayee,Deepak Dobriyal,Priyanka Bose,Prspctvs Productions,hindi
2025,Aabeer Gulaal,Aarti S. Bagdi,Fawad Khan,Vaani Kapoor,,A Richer Lens Entertainment,hindi
2025,Mannu Kya Karegga,Ssanjay Tripaathy,Vyom Yadav,Saachi Bindra,Vinay Pathak,Curious Eyes Cinema,hindi
2025,Jolly LLB 3,Subhash Kapoor,Akshay Kumar,Arshad Warsi,Huma Qureshi,Star Studio18,hindi
2025,Nishaanchi,Anurag Kashyap,Aaishvary Thackeray,Vedika Pinto,Monika Panwar,Amazon MGM Studios,hindi
2025,Ajey: The Untold Story of a Yogi,Ravindra Gautam,Anant Joshi,Paresh Rawal,Dinesh Lal Yadav,Samrat Cinematics,hindi
2025,Homebound,Neeraj Ghaywan,Ishaan Khatter,Vishal Jethwa,Janhvi Kapoor,Dharma Productions,hindi
2025,Tu Meri Poori Kahani,Suhrita Das,Arhaan Pateel,Shammi Duhan,Hirranya Ojha,Indira Entertainment,hindi
2025,Sunny Sanskari Ki Tulsi Kumari,Shashank Khaitan,Varun Dhawan,Janhvi Kapoor,Sanya Malhotra,Dharma Productions,hindi
2025,Lord Curzon Ki Haveli,Anshuman Jha,Arjun Mathur,Rasika Dugal,Tanmay Dhanania,Golden Ratio Films,hindi
2025,Controll,Safdar Abbas,Thakur Anoop Singh,Rohit Roy,Priya Anand,Pen Studios,hindi
2025,Bhagwat: Chapter One – Raakshas,Akshay Shere,Arshad Warsi,Jitendra Kumar,Ayesha Kaduskar,Jio Studios,hindi
2025,Greater Kalesh,Aditya Chandiok,Ahsaas Channa,Supriya Shukla,,Terrible Tinny Tales,hindi
2025,WingMan,Anuj Gulati,Shashank Arora,Trimala Adhikari,Auritra Ghosh,Lionsgate Play,hindi
2025,Thamma,Aditya Sarpotdar,Ayushmann Khurrana,Rashmika Mandanna,Nawazuddin Siddiqui,Maddock Films,hindi
2025,Ek Deewane Ki Deewaniyat,Milap Zaveri,Harshvardhan Rane,Sonam Bajwa,,Desi Movies Factory,hindi
2025,The Taj Story,Tushar Amrish Goel,Paresh Rawal,Zakir Hussain,Amruta Khanvilkar,Swarnim Global Services,hindi
2025,Single Salma,Nachiket Samant,Huma Qureshi,Sunny Singh,Shreyas Talpade,Star Studio18,hindi
2025,Haq,Suparn Verma,Emraan Hashmi,Yami Gautam,,Junglee Pictures,hindi
2025,Jatadhara,Venkat KalyanAbhishek Jaiswal,Sudheer Babu,Sonakshi Sinha,Divya Khosla Kumar,Zee Studios,hindi
2025,Jassi Weds Jassi,Paran Bawa,Harshh Vardhan Singh Deo,Rehmat Rattan,Ranvir Shorey,Divinity Studio,hindi
2025,Baramulla,Aditya Suhas Jambhale,Manav Kaul,Bhasha Sumbli,,Jio Studios,hindi
2025,De De Pyaar De 2,Anshul Sharma,Ajay Devgn,R. Madhavan,Rakul Preet Singh,T-Series Films,hindi
2025,Agra,Kanu Behl,Mohit Agarwal,Priyanka Bose,Ruhani Sharma,Saregama,hindi
2025,Delhi,Devendra Malviya,Brijendra Kala,Samar Jai Singh,Siddharth Bharadwaj,Midas Touch Films,hindi
2025,Kaal Trighori,Nitin Vaidya,Arbaaz Khan,Rituparna Sengupta,Mahesh Manjrekar,Pen Studios,hindi
2025,Nishaanchi 2,Anurag Kashyap,Aaishvary Thackeray,Vedika Pinto,Monika Panwar,Amazon MGM Studios,hindi
2025,Bahadur,Razneesh ‘Razy’ Ghai,Farhan Akhtar,Raashii Khanna,,Excel Entertainment,hindi
2025,Mastiii 4,Milap Zaveri,Riteish Deshmukh,Vivek Oberoi,Aftab Shivdasani,Balaji Motion Pictures,hindi
2025,Tere Ishk Mein,Aanand L. Rai,Dhanush,Kriti Sanon,,T-Series Films,hindi
2025,Gustaakh Ishq,Vibhu Puri,Naseeruddin Shah,Fatima Sana Shaikh,Vijay Varma,Stage 5 Productions,hindi
2025,Me No Pause Me Play,Samar K Mukharjee,Kamya Panjabi,Deepshikha Nagpal,Manoj Kumar Sharma,Digi Filming,hindi
2025,Kaisi Ye Paheli,Ananyabrata Chakravorty,Rajit Kapoor,Sukant Goel,Chittaranjan Giri,Take Pictures,hindi
2025,Dhurandhar,Aditya Dhar,Ranveer Singh,Akshaye Khanna,Sanjay Dutt,Jio Studios,hindi
2025,Kis Kisko Pyaar Karoon 2,Anukalp Goswami,Kapil Sharma,Manjot Singh,Hira Warina,Star Studio18,hindi
2025,Saali Mohabbat,Tisca Chopra,Radhika Apte,Divyenndu,Anshumaan Pushkar,Stage 5 Prdoction,hindi
2025,The Great Shamsuddin Family,Anusha Rizvi,Kritika Kamra,Shreya Dhanwanthary,Sheeba Chaddha,Star Studio18,hindi
2025,Raat Akeli Hai: The Bansal Murders,Honey Trehan,Nawazuddin Siddiqui,Radhika Apte,Chitrangada Singh,RSVP Movies,hindi
2025,Durlabh Prasad Ki Dusri Shadi,Siddhant Raj Singh,Sanjay Mishra,Mahima Chaudhry,,Eksha Entertainment,hindi
2025,Tu Meri Main Tera Main Tera Tu Meri,Sameer Vidwans,Kartik Aaryan,Ananya Panday,Neena Gupta,Dharma Productions,hindi
