Name,Director,Cast,Studio
Raid 2,Raj Kumar Gupta,Ajay DevgnRiteish DeshmukhVaani Kapoor,"T-Series Films, Panorama Studios"
The Bhootnii,Sidhaant Sachdev,Sanjay DuttMouni RoySunny SinghPalak TiwariBeyounickAasif Khan,"Soham Rockstar Entertainment, Three Dimension Motion Pictures"
Costao,Sejal Shah,Nawazuddin SiddiquiPriya BapatKishore Kumar GGagan Dev Riar,"Bhanushali Studios, Bombay Fables, ZEE5"
The Networker,Vikas Kumar Vishwakarma,Vikram KochharDurgesh KumarIshtiyak KhanRishabh PathakBrijendra KalaVindhya TiwariNikhat Khan,"Gutargoo Entertainment, Navritu Films"
Romeo S3,Guddu Dhanoa,Thakur Anoop SinghPalak Tiwari,"Pen Studios, Wild River Pictures"
Bhool Chuk Maaf,Karan Sharma,Rajkummar RaoWamiqa Gabbi,"Amazon MGM Studios, Maddock Films"
Kapkapiii,Sangeeth Sivan,Tusshar KapoorShreyas TalpadeJay ThakkarSiddhi Idnani,"Zee Studios, Bravo Entertainment"
Pune Highway,Rahul da CunhaBugs Bhargava Krishna,Jim SarbhAmit SadhManjari FadnisKetaki Narayan,"Drop D Films, Ten Years Younger Productions"
Kesari Veer,Prince Dhiman,Suniel ShettyVivek OberoiSooraj PancholiAkansha Sharma,Chauhan Studios
Chidiya,Mehran Amrohi,Vinay PathakAmruta Subhash Svar KambleAyush Pathak,"Smiley Films, Key Media Works"
Interrogation,Ajoy Varma Raja,Manu SinghRajpal Yadav Darshan JariwalaYashpal SharmGirish Kulkarni,"Aryan Brothers Entertainment Film, Naam Mein Kya Rakha Hai Production, ZEE5"
Stolen,Karan Tejpal,Abhishek BanerjeeHarish KhannaMia MaelzerSahidur RahamanShubham Vardhan,"Jungle Book Studio, Amazon Prime Video"
Housefull 5,Tarun Mansukhani,Akshay KumarRiteish DeshmukhSanjay DuttAbhishek BachchanNana PatekarFardeen KhanDino MoreaChunky PandeyJackie ShroffNikitin DheerShreyas TalpadeRanjeetJohnny LeverJacqueline FernandezNargis FakhriSonam BajwaChitrangda SinghSoundarya Sharma,Nadiadwala Grandson Entertainment
Sitaare Zameen Par,R. S. Prasanna,Aamir KhanGenelia Deshmukh,Aamir Khan Productions
Detective Sherdil,Ravi Chhabriya,Diljit DosanjhDiana PentyBoman IraniChunky PandayRatna Pathak ShahBanita SandhuSumeet Vyas,"AAZ Films, Offside Entertainment, Maurya Entertainment, ZEE5"
Maa,Vishal Furia,KajolRonit RoyIndraneil SenguptaKherin Sharma,"Jio Studios, Devgn Films, Panorama Studios"
Well Done CA Sahab!,Sarvesh Kumar Singh,Gopal DattGaurav PaswalaJyoti KapoorSayandeep SenguptaNishma SoniArchan TrivediMakrand ShuklaSamar JajoriyaSam JajoriyaRama Krishna Dixit,Figures and Frames
Metro... In Dino,Anurag Basu,Aditya Roy KapurSara Ali KhanAnupam KherNeena GuptaPankaj TripathiKonkona Sen SharmaAli FazalFatima Sana Shaikh,"T-Series Films, Anurag Basu Productions"
Kaalidhar Laapata,Madhumita,Abhishek BachchanDaivik BhagelaMohammed Zeeshan Ayyub,"Zee Studios, Emmay Entertainment, ZEE5"
Akshardham: Operation Vajra Shakti,Ken Ghosh,Akshaye Khanna Gautam RodeVivek DahiyaAkshay OberoiAbhilash ChaudharyParvin DabasSamir SoniAbhimanyu SinghMir SarwarManjari FadnisChandan RoyShivam Bhaargava,"Zee Studios, Contiloe Pictures"
Maalik,Pulkit,Rajkummar RaoManushi ChhillarProsenjit Chatterjee,"Tips Industries, Northern Lights Films"
Aankhon Ki Gustaakhiyan,Santosh Singh,Vikrant MasseyShanaya Kapoor,"Zee Studios, Mini Films"
