Name,Director,Cast,Studio,Table
WingMan (The Universal Irony of Love),Anuj Gulati,Shashank AroraTrimala AdhikariAuritra Ghosh,Lionsgate Play,6
Thamma,Aditya Sarpotdar,Ayushmann KhurranaRashmika MandannaNawazuddin SiddiquiParesh Rawal,Maddock Films,6
Ek Deewane Ki Deewaniyat,Milap Zaveri,Harshvardhan RaneSonam Bajwa,"Desi Movies Factory, Play DMF",6
The Taj Story,Tushar Amrish Goel,Paresh RawalZakir HussainAmruta KhanvilkarSneha WaghNamit Das,Swarnim Global Services,6
Single Salma,Nachiket Samant,Huma QureshiSunny SinghShreyas Talpade,"Star Studio18, Elemen3 Entertainment",6
Haq,Suparn Verma,Emraan HashmiYami Gautam,"Junglee Pictures, Insomnia Films, Baweja Studios",6
Jatadhara[β],Venkat KalyanAbhishek Jaiswal,Sudheer BabuSonakshi SinhaDivya Khosla Kumar,"Zee Studios, Ess Kay Gee Entertainment, Sudheer Babu Productions",6
Jassi Weds Jassi,Paran Bawa,Harshh Vardhan Singh DeoRehmat RattanRanvir ShoreySikandar KherManu Rishi Chadha,Divinity Studio,6
Baramulla,Aditya Suhas Jambhale,Manav KaulBhasha Sumbli,"Jio Studios, B62 Studios, Netflix",6
De De Pyaar De 2,Anshul Sharma,Ajay DevgnR. MadhavanRakul Preet Singh,"T-Series Films, Luv Films",6
Agra,Kanu Behl,Mohit AgarwalPriyanka BoseRuhani SharmaRahul Roy,"Saregama, UFO Moviez, O28 Films",6
2020 Delhi,Devendra Malviya,Brijendra KalaSamar Jai SinghSiddharth Bharadwaj,Midas Touch Films,6
Kaal Trighori,Nitin Vaidya,Arbaaz KhanRituparna SenguptaMahesh ManjrekarAditya SrivastavaMugdha GodseRajesh Sharma,"Pen Studios, Navin Productions",6
Nishaanchi 2,Anurag Kashyap,Aaishvary ThackerayVedika PintoMonika PanwarMohammed Zeeshan Ayyub,"Amazon MGM Studios, JAR Pictures, Flip Films, Amazon Prime Video",6
120 Bahadur,Razneesh ‘Razy’ Ghai,Farhan AkhtarRaashii Khanna,"Excel Entertainment, Trigger Happy Studios",6
Mastiii 4,Milap Zaveri,Riteish DeshmukhVivek OberoiAftab ShivdasaniArshad WarsiTusshar KapoorShreya SharmaElnaaz NorouziRuhi Singh,"Balaji Motion Pictures, Waveband Production, Maruti International",6
Tere Ishk Mein,Aanand L. Rai,DhanushKriti Sanon,"T-Series Films, Colour Yellow Productions",6
Gustaakh Ishq,Vibhu Puri,Naseeruddin ShahFatima Sana ShaikhVijay VarmaSharib Hashmi,Stage 5 Productions,6
Me No Pause Me Play,Samar K Mukharjee,Kamya PanjabiDeepshikha NagpalManoj Kumar SharmaAman VermaSudha Chandran,"Digi Filming, Mirrro Films",6
Kaisi Ye Paheli,Ananyabrata Chakravorty,Rajit KapoorSukant GoelChittaranjan GiriSadhana Singh,Take Pictures,6
