Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,Jugnuma: The Fable,Raam Reddy,Manoj Bajpayee, Deepak Dobriyal," Priyanka Bose, Tillotama Shome, Hiral Sidhu, Awan Pookot","Prspctvs Productions, Maxmedia, Flip Films, Sikhya Entertainment",hindi
2025,Aabeer Gulaal,Aarti S. Bagdi,Fawad Khan, Vaani Kapoor,,"A Richer Lens Entertainment, Aarjay Pictures",hindi
2025,Mannu Kya Karegga,Ssanjay Tripaathy,Vyom Yadav, Saachi Bindra," Vinay Pathak, Kumud Mishra, Rajesh Kumar, Charu Shankar, Brijendra Kala",Curious Eyes Cinema,hindi
2025,Jolly LLB 3,Subhash Kapoor,Akshay Kumar, Arshad Warsi," Huma Qureshi, Amrita Rao, Saurabh Shukla, Gajraj Rao","Star Studio18, Kangra Talkies",hindi
2025,Nishaanchi,Anurag Kashyap,Aaishvary Thackeray, Vedika Pinto," Monika Panwar, Mohammed Zeeshan Ayyub","Amazon MGM Studios, JAR Pictures, Flip Films",hindi
2025,Ajey: The Untold Story of a Yogi,Ravindra Gautam,Anant Joshi, Paresh Rawal, Dinesh Lal Yadav,Samrat Cinematics,hindi
2025,Homebound,Neeraj Ghaywan,Ishaan Khatter, Vishal Jethwa, Janhvi Kapoor,Dharma Productions,hindi
2025,Tu Meri Poori Kahani,Suhrita Das,Arhaan Pateel, Shammi Duhan, Hirranya Ojha,Indira Entertainment,hindi
2025,Sunny Sanskari Ki Tulsi Kumari,Shashank Khaitan,Varun Dhawan, Janhvi Kapoor," Sanya Malhotra, Rohit Saraf","Dharma Productions, Mentor Disciple Entertainment",hindi
2025,Lord Curzon Ki Haveli,Anshuman Jha,Arjun Mathur, Rasika Dugal," Tanmay Dhanania, Zoha Rahman","Golden Ratio Films, First Ray Films, Jetty Productions",hindi
2025,Controll,Safdar Abbas,Thakur Anoop Singh, Rohit Roy, Priya Anand,"Pen Studios, Yashi Studios",hindi
2025,Bhagwat: Chapter One – Raakshas,Akshay Shere,Arshad Warsi, Jitendra Kumar, Ayesha Kaduskar,"Jio Studios, Baweja Studios, Dog ‘n’ Bone Pictures. ZEE5",hindi
